No,outlook,temperature,humidity,windy,play
1,sunny,hot,high,FALSE,no
2,sunny,hot,high,TRUE,no
3,overcast,hot,high,FALSE,yes
4,rainy,mild,high,FALSE,yes
5,rainy,cool,normal,FALSE,yes
6,rainy,cool,normal,TRUE,no
7,overcast,cool,normal,TRUE,yes
8,sunny,mild,high,FALSE,no
9,sunny,mild,normal,FALSE,yes
10,rainy,mild,normal,FALSE,yes
11,sunny,mild,normal,TRUE,yes
12,overcast,mild,high,TRUE,yes
13,overcast,hot,normal,FALSE,yes
14,rainy,mild,high,TRUE,no
15,sunny,hot,high,FALSE,no
16,sunny,hot,high,TRUE,no
17,rainy,cool,normal,TRUE,no
18,sunny,mild,high,FALSE,no
19,rainy,mild,high,TRUE,no
20,sunny,mild,high,FALSE,no
21,sunny,mild,normal,FALSE,yes
22,rainy,mild,normal,FALSE,yes
23,sunny,mild,normal,TRUE,yes
24,overcast,mild,high,TRUE,yes
25,overcast,hot,normal,FALSE,yes
26,rainy,mild,high,TRUE,no
27,sunny,hot,high,FALSE,no
28,sunny,hot,high,TRUE,no
29,rainy,cool,normal,TRUE,no
30,sunny,mild,high,FALSE,no
